gene,UC signature,Mendiratta signature
AP2B1,-0.012671387759184428,0.0
AP2M1,-0.00022411704282669114,0.0
AP2S1,0.018295746588729414,0.0
AP3B1,0.0038173088798318785,0.0
AP3B2,0.00046895446016499026,0.0
AP3D1,0.0031514865896569476,0.0
AP3M2,0.000630094754157352,0.0
AP3S1,-0.0035644670994233623,0.0
AP3S2,0.002787272391390808,0.0
AP4E1,0.0018825328017681865,0.0
AP4M1,-0.00752211987815208,0.0
AP4S1,-0.0023901353199396783,0.0
APAF1,0.0005366616383594776,0.0
APBA1,-0.007349121340652741,0.0
APBA2,-0.0055294897162054225,0.0
APBA3,0.003108552942321682,0.0
APBB1,-0.003386414765089746,0.0
APBB1IP,0.0013942325155987469,0.0
APBB2,-0.0018056015302810064,0.0
APC,-0.0019527427816601925,0.0
APC2,-0.004046126022395558,0.0
APCS,0.00029396113161524916,0.0
APEH,0.011278400080012688,0.0
APEX1,-0.010165909687882144,0.0
APEX2,0.010146242034092994,0.0
APH1A,-0.020598450656337936,0.0
APH1B,0.0007470639595591153,0.0
API5,0.0037498284216685696,0.0
APIP,0.017443443943920302,0.0
APLNR,0.0005061604792886274,0.0
APLP1,-0.008610774310773495,0.0
APLP2,0.009187049370620343,0.0
APOA1,0.0013227597376487576,0.0
APOA2,0.0005073263693947844,0.0
APOA4,-0.000962335149620223,0.0
APOB,-0.0004494564800133604,0.0
APOBEC1,-0.0019026669068737418,0.0
APOBEC2,0.0013051967152433127,0.0
APOBEC3A,0.00046185656655410985,0.0
APOBEC3B,-0.003932452924005101,0.0
APOBEC3C,0.007403753144687225,0.0
APOBEC3F,-0.003256111851676153,0.0
APOBEC3G,0.0012141677422204773,0.0
APOC1,-0.00418719988108414,0.0
APOC2,-0.0039940516757908835,0.0
APOC3,0.00048564968011855923,0.0
APOC4,0.0035237969001099562,0.0
APOD,-0.0045797643295180795,0.0
APOE,-0.0007594838664046875,0.0
APOF,0.0006249681599698215,0.0
APOH,-0.0027820627598625276,0.0
APOL1,0.0013065358402843865,0.0
APOL2,-0.0016553704053431392,0.0
APOL3,0.0010460789495233488,0.0
APOL5,-0.002217833655264569,0.0
APOL6,-0.0011305945441015786,0.0
APOLD1,0.0017557439617170733,0.0
APOM,-0.0015684048933368654,0.0
APOO,0.009930616526016402,0.0
APOOL,0.001545514052305475,0.0
APP,-0.019233710944578573,0.0
APPBP2,0.007321557974067684,0.0
APPL1,-0.0074070999501079345,0.0
APPL2,-0.01148896129496513,0.0
APRT,0.00952308440359584,0.0
APTX,0.0021708968658109232,0.0
AQP1,0.0017254307945149283,0.0
AQP2,-0.00011872561537962424,0.0
AQP3,0.014462452884443736,0.0
AQP4,0.00014454983596567315,0.0
AQP5,0.00048233372771562527,0.0
AQP6,-0.00033956374442589617,0.0
AQP7,0.000245604528057462,0.0
